local_work_id,work_group_id,mapping_status,mapping_confidence,identity_source,verification_status,canonical_title,canonical_author,canonical_publisher,canonical_year,isbn_10,isbn_13,doi,ocaid,lccn,primary_identifier_type,primary_identifier,document_type,external_url,ol_work_key,ol_edition_key,openlibrary_action,local_pdf_count,local_folders,local_paths_json,notes
OLP-6DB7EA4A07773151,doi:10.1016/j.cities.2012.08.007,AUTHORITY_MAPPED,1.000,crossref,VERIFIED_EXTERNAL,The reshaping of land use and urban form in Denver through transit-oriented development,Keith A. Ratner; Andrew R. Goetz,Elsevier BV,2013,,,10.1016/j.cities.2012.08.007,,,doi,10.1016/j.cities.2012.08.007,journal-article,https://doi.org/10.1016/j.cities.2012.08.007,,,EXTERNAL_OR_LOCAL_ONLY,1,DOTS Europa & Estados Unidos,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS Europa & Estados Unidos/Journal cities 2012 TOD Denver 1-s2.0-S0264275112001527-main.pdf""]",DOI metadata verifies a non-book publication; do not create it as an Open Library book
OLP-F47CC86BC598669A,doi:10.1016/j.jtrangeo.2012.02.010,AUTHORITY_MAPPED,1.000,crossref,VERIFIED_EXTERNAL,Establishing the conditions for effective transit-oriented development in China: the case of Dalian,Rui Mu; Martin de Jong,Elsevier BV,2012,,,10.1016/j.jtrangeo.2012.02.010,,,doi,10.1016/j.jtrangeo.2012.02.010,journal-article,https://doi.org/10.1016/j.jtrangeo.2012.02.010,,,EXTERNAL_OR_LOCAL_ONLY,1,DOTS Asia,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS Asia/Journal Cities 2012 TOD Dalian China 1-s2.0-S0966692312000592-main.pdf""]",DOI metadata verifies a non-book publication; do not create it as an Open Library book
OLP-8A78778A1392DEDD,doi:10.1016/j.tra.2009.02.003,AUTHORITY_MAPPED,1.000,crossref,VERIFIED_EXTERNAL,Capitalization of BRT network expansions effects into prices of non-expansion areas,Daniel A. Rodríguez; Carlos H. Mojica,Elsevier BV,2009,,,10.1016/j.tra.2009.02.003,,,doi,10.1016/j.tra.2009.02.003,journal-article,https://doi.org/10.1016/j.tra.2009.02.003,,,EXTERNAL_OR_LOCAL_ONLY,1,Captura de valor,"[""5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/X. BOG BRT prices Rodriguez & Mojica 2009.pdf""]",DOI metadata verifies a non-book publication; do not create it as an Open Library book
OLP-8AD090A8A0C9E528,doi:10.1016/j.tranpol.2009.11.002,AUTHORITY_MAPPED,1.000,crossref,VERIFIED_EXTERNAL,"Walking accessibility to bus rapid transit: Does it affect property values? The case of Bogotá, Colombia",Ramon Munoz-Raskin,Elsevier BV,2010,,,10.1016/j.tranpol.2009.11.002,,,doi,10.1016/j.tranpol.2009.11.002,journal-article,https://doi.org/10.1016/j.tranpol.2009.11.002,,,EXTERNAL_OR_LOCAL_ONLY,1,Captura de valor,"[""5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/MUNOS-RASKIN RAMON 2009 walking accessibility to bus rapid transit. does it affect property values the case of bogota.pdf""]",DOI metadata verifies a non-book publication; do not create it as an Open Library book
OLP-0FCF4A92675AB64E,doi:10.1080/01441647.2019.1649316,AUTHORITY_MAPPED,1.000,crossref,VERIFIED_EXTERNAL,Transit-oriented development and gentrification: a systematic review,Miguel Padeiro; Ana Louro; Nuno Marques da Costa,Informa UK Limited,2019,,,10.1080/01441647.2019.1649316,,,doi,10.1080/01441647.2019.1649316,journal-article,https://doi.org/10.1080/01441647.2019.1649316,,,EXTERNAL_OR_LOCAL_ONLY,1,DOTS América Latina,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/2019_TOD_Gentrification.pdf""]",DOI metadata verifies a non-book publication; do not create it as an Open Library book
OLP-E4865A5A59DD2880,doi:10.1080/13504851.2011.554360,AUTHORITY_MAPPED,1.000,crossref,VERIFIED_EXTERNAL,A methodological proposal to estimate changes of residential property value: case study developed in Bogotá,Jorge A. Perdomo,Informa UK Limited,2011,,,10.1080/13504851.2011.554360,,,doi,10.1080/13504851.2011.554360,journal-article,https://doi.org/10.1080/13504851.2011.554360,,,EXTERNAL_OR_LOCAL_ONLY,1,Captura de valor,"[""5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/PERDOMO JA 2013 A methodological proposal to estimate changes of residential property value. case study in Bogota..pdf""]",DOI metadata verifies a non-book publication; do not create it as an Open Library book
OLP-2B74183125A5B44B,doi:10.1088/1755-1315/1141/1/012002,AUTHORITY_MAPPED,1.000,crossref,VERIFIED_EXTERNAL,Transportation Oriented Development Method: literature review,Julio Vega; Robinson Balcázar; Xavier Guerra,IOP Publishing,2023,,,10.1088/1755-1315/1141/1/012002,,,doi,10.1088/1755-1315/1141/1/012002,journal-article,https://doi.org/10.1088/1755-1315/1141/1/012002,,,EXTERNAL_OR_LOCAL_ONLY,1,DOTS América Latina,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/2023_TODS_literature_review.pdf""]",DOI metadata verifies a non-book publication; do not create it as an Open Library book
OLP-394BD7E184699A63,doi:10.1108/14635780410525153,AUTHORITY_MAPPED,1.000,crossref,VERIFIED_EXTERNAL,Land value capture mechanisms in Hong Kong and Singapore,Eddie Chi‐Man Hui; Vivian Sze‐Mun Ho; David Kim‐Hin Ho,Emerald,2004,,,10.1108/14635780410525153,,,doi,10.1108/14635780410525153,journal-article,https://doi.org/10.1108/14635780410525153,,,EXTERNAL_OR_LOCAL_ONLY,1,Captura de valor,"[""5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/Land value capture mechanisms in Hong Kong and Singapore_2004.pdf""]",DOI metadata verifies a non-book publication; do not create it as an Open Library book
OLP-9E1735A37AC794F1,doi:10.1111/j.1536-7150.2006.00474.x,AUTHORITY_MAPPED,0.917,crossref_title,VERIFIED_EXTERNAL,Financing Transit Systems Through Value Capture,Jeffery J. Smith; Thomas A. Gihring,Wiley,2006,,,10.1111/j.1536-7150.2006.00474.x,,,doi,10.1111/j.1536-7150.2006.00474.x,journal-article,https://doi.org/10.1111/j.1536-7150.2006.00474.x,,,EXTERNAL_OR_LOCAL_ONLY,1,Captura de valor,"[""5 DOT y planeación urbana (Gregor Wessels)/Captura de valor/SMITH JEFFERY GIHRING THOMAS Financing transist systems through land value capture.pdf""]",Near-exact long-title search recovered authoritative Crossref DOI metadata for a non-book publication
OLP-5CCF7F50FA036425,doi:10.22320/07183607.2021.24.43.08,AUTHORITY_MAPPED,1.000,crossref,VERIFIED_EXTERNAL,"Estaciones como nodos y lugares: el potencial del tren para el desarrollo urbano orientado al transporte en Santiago, Chile",Giovanni Vecchio,Universidad del Bio Bio,2021,,,10.22320/07183607.2021.24.43.08,,,doi,10.22320/07183607.2021.24.43.08,journal-article,https://doi.org/10.22320/07183607.2021.24.43.08,,,EXTERNAL_OR_LOCAL_ONLY,1,DOTS América Latina,"[""5 DOT y planeación urbana (Gregor Wessels)/DOTS América Latina/2021_DOTS_tren_Santiago.pdf""]",DOI metadata verifies a non-book publication; do not create it as an Open Library book
